,098560.KS
symbol,098560.KS
price,7855
beta,0
volAvg,22644
mktCap,0
lastDiv,0
range,0.0-8660.0
changes,10
companyName,Mirae Asset TIGER Media & Telecom ETF
currency,KRW
cik,
isin,
cusip,
exchange,KSE
exchangeShortName,KSC
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/098560.KS.png
ipoDate,2007-09-07
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
