,ACES
symbol,ACES
price,52.88
beta,0
volAvg,78383
mktCap,0
lastDiv,0.494
range,42.66-67.925
changes,1.66
companyName,ALPS Clean Energy ETF
currency,USD
cik,0001414040
isin,US00162Q4608
cusip,00162Q460
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its net assets in securities that comprise the underlying index. The underlying index utilizes a rules-based methodology developed by CIBC National Trust Company (the ""index provider""), which is designed to provide exposure to a diverse set of U.S. and Canadian companies involved in the clean energy sector including renewables and clean technology. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ACES.png
ipoDate,2018-06-29
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
