,AGQ
symbol,AGQ
price,31.13
beta,0
volAvg,983777
mktCap,170817065
lastDiv,0
range,17.56-47.05
changes,0.41
companyName,ProShares Ultra Silver
currency,USD
cik,0001415311
isin,US74347W3530
cusip,74347W353
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to meet its investment objective by investing, under normal market conditions, in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts, forward contracts and option contracts) based on the benchmark. The types and mix of Financial Instruments in which the fund invests may vary daily at the discretion of the Sponsor. It will not invest directly in any commodity."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AGQ.png
ipoDate,2008-12-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
