,AGZ
symbol,AGZ
price,108.28
beta,0
volAvg,52595
mktCap,501077178
lastDiv,1.4360000000000004
range,105.0-116.13
changes,0.25
companyName,iShares Agency Bond ETF
currency,USD
cik,
isin,US4642881662
cusip,464288166
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index measures the performance of the agency sector of the U.S. government bond market and is composed of investment-grade U.S. dollar-denominated publicly-issued government agency bonds or debentures. The fund will invest at least 80% of its assets in the component securities of the index and TBAs that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AGZ.png
ipoDate,2008-11-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
