,ARGD
symbol,ARGD
price,22.1
beta,0
volAvg,6244
mktCap,0
lastDiv,1.624
range,19.59-25.85
changes,0.05
companyName,"Argo Group US, Inc. 6.5% SR NTS 42"
currency,USD
cik,0001091748
isin,US0401302056
cusip,040130205
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ARGD.png
ipoDate,2018-05-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
