,ARKF
symbol,ARKF
price,18.44
beta,0
volAvg,969126
mktCap,0
lastDiv,0.185
range,13.5-34.38
changes,0.56
companyName,ARK Fintech Innovation ETF
currency,USD
cik,0001579982
isin,US00214Q7088
cusip,00214Q708
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively-managed ETF that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies that are engaged in the fund's investment theme of financial technology (""Fintech"") innovation. A company is deemed to be engaged in the theme of Fintech innovation if (i) it derives a significant portion of its revenue or market value from the theme of Fintech innovation, or (ii) it has stated its primary business to be in products and services focused on the theme of Fintech innovation. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ARKF.png
ipoDate,2019-02-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
