,AWAY
symbol,AWAY
price,19.28
beta,0
volAvg,60724
mktCap,0
lastDiv,0.01
range,15.0-26.342
changes,0.14
companyName,ETFMG Travel Tech ETF
currency,USD
cik,
isin,US26924G7714
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets, exclusive of collateral held from securities lending, in the component securities of the index and in ADRs and GDRs based on the component securities in the index. The index tracks the performance of globally exchange-listed equity securities of companies across the globe that are engaged in ""Travel Technology Business"" which is defined as providing technology, via the internet and internet-connected devices."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AWAY.png
ipoDate,2020-02-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
