,BAR
symbol,BAR
price,19.09
beta,0
volAvg,474957
mktCap,6610950519
lastDiv,0
range,16.03-20.54
changes,0.06
companyName,GraniteShares Gold Trust
currency,USD
cik,0001690437
isin,US38748G1013
cusip,38748G101
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BAR.png
ipoDate,2017-08-31
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
