,BBUS
symbol,BBUS
price,72.95
beta,0
volAvg,85381
mktCap,0
lastDiv,1.076
range,62.56-83.72
changes,0.99
companyName,JPMorgan BetaBuilders U.S. Equity ETF
currency,USD
cik,
isin,US46641Q3992
cusip,46641Q399
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The underlying index is a free float adjusted market capitalization weighted index which consists of equity securities primarily traded in the United States. The underlying index targets 85% of those stocks by market capitalization, and primarily includes large- and mid-cap companies. The fund will invest at least 80% of its assets in securities included in the underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BBUS.png
ipoDate,2019-03-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
