,BECO
symbol,BECO
price,21.63
beta,0
volAvg,2136
mktCap,0
lastDiv,0
range,17.53-23.91
changes,0.2527
companyName,BlackRock Future Climate and Sustainable Economy ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to maximize total return by primarily investing in companies that BFA believes are furthering the transition to a lower carbon economy. It will also seek to invest in a portfolio of equity securities that, in BFA’s view, has an aggregate environmental assessment that is better than the aggregate environmental assessment of the MSCI ACWI Multiple Industries Select Index. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BECO.png
ipoDate,2021-08-09
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
