,BIZD
symbol,BIZD
price,15.32
beta,0
volAvg,253280
mktCap,320033207
lastDiv,1.587
range,12.93-18.11
changes,0.1041
companyName,VanEck BDC Income ETF
currency,USD
cik,
isin,US92189F4110
cusip,92189F411
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of BDCs. BDCs are vehicles whose principal business is to invest in, lend capital to or provide services to privately-held companies or thinly traded U.S. public companies."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BIZD.png
ipoDate,2013-02-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
