,BKLC
symbol,BKLC
price,74.43
beta,0
volAvg,37657
mktCap,28367552195
lastDiv,1.1480000000000001
range,64.35-86.75
changes,1.09
companyName,BNY Mellon US Large Cap Core Equity ETF
currency,USD
cik,0001493580
isin,US09661T1079
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund generally invests in all of the stocks in the index in proportion to their weighting in the index. The index is a float-adjusted market capitalization weighted index designed to measure the performance of U.S. large-capitalization stocks. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BKLC.png
ipoDate,2020-04-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
