,BLCN
symbol,BLCN
price,22.75
beta,0
volAvg,27127
mktCap,74000358
lastDiv,0.259
range,20.0-40.79
changes,-0.29
companyName,Siren Nasdaq NexGen Economy ETF
currency,USD
cik,
isin,US8296582021
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal circumstances, at least 80% of the fund's assets, will be invested in component securities of the index. The index is designed to measure the returns of companies that are committing material resources to developing, researching, supporting, innovating or utilizing blockchain technology for their proprietary use or for use by others (""Blockchain Companies""). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BLCN.png
ipoDate,2018-01-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
