,BNKU
symbol,BNKU
price,32.04
beta,0
volAvg,42531
mktCap,0
lastDiv,0
range,17.87-72.15
changes,1.04
companyName,MicroSectors U.S. Big Banks Index 3X Leveraged ETNs
currency,USD
cik,0000927971
isin,US0636798235
cusip,063679823
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The notes are senior unsecured medium-term notes issued by Bank of Montreal with a return linked to a three times leveraged participation in the performance of the index, compounded daily, less a Daily Investor Fee, the Daily Financing Charge and, if applicable, the Redemption Fee Amount. The index is an equal-dollar weighted index designed to represent the 10 U.S. stocks with the largest market capitalization in the banking sector."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BNKU.png
ipoDate,2019-04-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
