,BSCO
symbol,BSCO
price,20.6
beta,0
volAvg,994196
mktCap,2451263031
lastDiv,0.4600000000000001
range,20.26-21.58
changes,0.02
companyName,Invesco BulletShares 2024 Corporate Bond ETF
currency,USD
cik,
isin,US46138J8412
cusip,46138J841
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2024 (collectively, ""2024 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSCO.png
ipoDate,2014-09-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
