,BSJQ
symbol,BSJQ
price,23.04
beta,0
volAvg,143132
mktCap,1676368604
lastDiv,1.2819999999999998
range,21.69-25.2
changes,0.13
companyName,Invesco BulletShares 2026 High Yield Corporate Bond ETF
currency,USD
cik,
isin,US46138J6358
cusip,46138J635
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated high yield corporate bonds (commonly known as ""junk bonds"") with maturities or, in some cases, ""effective maturities"" in the year 2026 (collectively, ""2026 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSJQ.png
ipoDate,2018-08-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
