,BULZ
symbol,BULZ
price,37.3463
beta,0
volAvg,963851
mktCap,0
lastDiv,0
range,19.07-190.89
changes,3.6963
companyName,MicroSectors Solactive FANG Innovation 3X Leveraged ETNs
currency,USD
cik,0000927971
isin,
cusip,063679617
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,NA
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BULZ.png
ipoDate,
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
