,BUYW
symbol,BUYW
price,13.22
beta,0
volAvg,59575
mktCap,0
lastDiv,0
range,11.514-13.26
changes,0.1105
companyName,Main Buywrite ETF
currency,USD
cik,
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests in domestic and international exchange-traded funds (ETFs) to provide investors with sustained exposure to domestic and foreign equity markets over time. The fund also uses the Adviser’s “BuyWrite” strategy, an investment strategy of writing (selling) call options on a security owned by the fund to generate additional returns from the option premium. The fund also seeks returns by writing (selling) secured put options."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BUYW.png
ipoDate,2022-09-12
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
