,CARZ
symbol,CARZ
price,48.05
beta,0
volAvg,5278
mktCap,1492345405
lastDiv,0.6439999999999999
range,38.8-61.41
changes,0.55
companyName,First Trust S-Network Future Vehicles & Technology ETF
currency,USD
cik,
isin,US33734X3098
cusip,33734X309
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets in the common stocks and depositary receipts that comprise the index. To be eligible for inclusion in the index, a company must be listed on a major recognized stock exchange and engaged in one of the following sectors: electric and autonomous vehicle manufacturing; enabling technologies or enabling materials. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CARZ.png
ipoDate,2011-05-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
