,CEW.TO
symbol,CEW.TO
price,16.18
beta,0
volAvg,5579
mktCap,0
lastDiv,0.594
range,13.66-18.48
changes,0.16
companyName,iShares Equal Weight Banc & Lifeco ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CEW.TO.png
ipoDate,2008-02-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
