,CGCP
symbol,CGCP
price,22.91
beta,0
volAvg,262854
mktCap,0
lastDiv,0.5740000000000001
range,21.409-25.829
changes,0.1203
companyName,Capital Group Core Plus Income ETF
currency,USD
cik,0001870117
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its assets in bonds and other debt securities, which may be represented by derivatives. It may invest in a broad range of debt securities, including corporate bonds and debt and mortgage- and other asset-backed securities issued by U.S. government-sponsored entities and federal agencies and instrumentalities that are not backed by the full faith and credit of the U.S. government. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CGCP.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
