,CGGO
symbol,CGGO
price,22.7
beta,0
volAvg,738554
mktCap,0
lastDiv,0.124
range,18.23-25.25
changes,0.25
companyName,Capital Group Global Growth Equity ETF
currency,USD
cik,0001870116
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in common stocks of companies around the world that the investment adviser believes have the potential for growth. It normally invests at least 80% of its assets in equity securities. Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net assets in issuers domiciled outside the United States). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CGGO.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
