,CIBR
symbol,CIBR
price,40.4
beta,0
volAvg,705940
mktCap,859430291
lastDiv,0.11800000000000001
range,36.03-53.94
changes,0.67
companyName,First Trust NASDAQ Cybersecurity ETF
currency,USD
cik,
isin,US33734X8469
cusip,33734X846
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes securities of companies classified as ""cyber security"" companies by CTA. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CIBR.png
ipoDate,2015-07-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
