,CLG.TO
symbol,CLG.TO
price,16.92
beta,0
volAvg,71898
mktCap,0
lastDiv,0.42400000000000004
range,16.31-18.06
changes,0
companyName,iShares 1-10 Year Laddered Government Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CLG.TO.png
ipoDate,2012-02-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
