,CLNR
symbol,CLNR
price,20.55
beta,0
volAvg,406
mktCap,0
lastDiv,0
range,16.0-24.347
changes,0.3
companyName,IQ Cleaner Transport ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The manager employs a “passive management” — or indexing — investment approach designed to track the performance of the underlying index. The underlying index incorporates thematic selection criteria designed to provide exposure to equity securities of companies that support the transition to more environmentally efficient transportation technologies. The fund is non-diversified.
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CLNR.png
ipoDate,2021-10-21
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
