,CMSC
symbol,CMSC
price,24.88
beta,0
volAvg,22091
mktCap,0
lastDiv,1.468
range,21.34-26.61
changes,0.26
companyName,CMS Energy Corporation 5.875% J
currency,USD
cik,0000811156
isin,
cusip,125896852
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CMSC.png
ipoDate,2018-10-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
