,DBB
symbol,DBB
price,21.97
beta,0
volAvg,196818
mktCap,232881978
lastDiv,0.184
range,17.43-27.01
changes,0.26
companyName,Invesco DB Base Metals Fund
currency,USD
cik,0001383084
isin,US46140H7008
cusip,46140H700
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index Commodities consist of Aluminum, Zinc and Copper – Grade A. The fund invests in futures contracts in an attempt to track its corresponding index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,2.86
dcf,19.19
image,https://financialmodelingprep.com/image-stock/DBB.png
ipoDate,2007-01-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
