,DBE
symbol,DBE
price,22.03
beta,0
volAvg,157391
mktCap,145398859
lastDiv,0.171
range,19.21-30.51
changes,0.4385
companyName,Invesco DB Energy Fund
currency,USD
cik,0001383062
isin,US46140H3049
cusip,46140H304
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index Commodities consist of Light, Sweet Crude Oil (WTI), Heating Oil, Brent Crude Oil, RBOB Gasoline and Natural Gas. The fund invests in futures contracts in an attempt to track its index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,1.73
dcf,23.85
image,https://financialmodelingprep.com/image-stock/DBE.png
ipoDate,2007-01-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
