,DEED
symbol,DEED
price,21.89
beta,0
volAvg,43754
mktCap,0
lastDiv,0.4840000000000001
range,20.36-25.35
changes,0.05
companyName,First Trust TCW Securitized Plus ETF
currency,USD
cik,
isin,US33740U1097
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its net assets (including investment borrowings) in securitized debt securities, including asset-backed securities, residential and commercial mortgage-backed securities and collateralized loan obligations (""CLOs""). It will invest at least 50% of its total assets in securities issued or guaranteed by the U.S. government, its agencies or instrumentalities (such as Ginnie Mae), and U.S. government-sponsored entities (such as Fannie Mae and Freddie Mac). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DEED.png
ipoDate,2020-04-29
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
