,DFCF
symbol,DFCF
price,42.84
beta,0
volAvg,651216
mktCap,0
lastDiv,1.1339999999999997
range,39.65-49.05
changes,0.18
companyName,Dimensional Core Fixed Income ETF
currency,USD
cik,0001816125
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 80% of the Portfolio’s net assets will be invested in fixed income securities considered to be investment grade quality. The Portfolio primarily invests in securities that mature within twenty years from the date of settlement. The Portfolio will generally maintain a weighted average duration of no more than one quarter year greater than, and no less than one year below, the weighted average duration of the Portfolio’s benchmark, the Bloomberg U.S. Aggregate Bond Index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DFCF.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
