,DGRE
symbol,DGRE
price,23.14
beta,0
volAvg,34508
mktCap,75687261
lastDiv,0.93
range,18.61-28.26
changes,-0.09
companyName,WisdomTree Emerging Markets Quality Dividend Growth Fund
currency,USD
cik,
isin,US97717W3236
cusip,97717W323
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund seeks to achieve its investment objective by investing primarily in emerging market dividend-paying common stocks with growth characteristics. The adviser, using a disciplined model-based process focused on a long-term approach to investing, seeks to identify dividend-paying companies with strong corporate profitability and sustainable growth characteristics. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DGRE.png
ipoDate,2013-08-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
