,DGRS
symbol,DGRS
price,44.98
beta,0
volAvg,25490
mktCap,124991863
lastDiv,1.1789999999999998
range,35.95-45.9
changes,1.15
companyName,WisdomTree U.S. SmallCap Quality Dividend Growth Fund
currency,USD
cik,
isin,US97717X6519
cusip,97717X651
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index is a fundamentally weighted index that consists of the small-capitalization segment of dividend-paying U.S. common stocks with growth characteristics. Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DGRS.png
ipoDate,2013-07-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
