,DJD
symbol,DJD
price,44.46
beta,0
volAvg,67567
mktCap,73783371
lastDiv,1.3780000000000001
range,37.39-48.124
changes,0.38
companyName,Invesco Dow Jones Industrial Average Dividend ETF
currency,USD
cik,
isin,US46137V6056
cusip,46137V605
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will generally invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is designed to provide exposure to dividend-paying equity securities of companies included in the Dow Jones Industrial Average™, which is a price-weighted index of 30 U.S. companies that meet certain size, listing and liquidity requirements. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DJD.png
ipoDate,2015-12-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
