,DLS
symbol,DLS
price,62.85
beta,0
volAvg,65863
mktCap,1729667385
lastDiv,2.8720000000000003
range,50.03-72.9
changes,0.55
companyName,WisdomTree International SmallCap Dividend Fund
currency,USD
cik,
isin,US97717W7609
cusip,97717W760
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is comprised of the small-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DLS.png
ipoDate,2006-06-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
