,DRN
symbol,DRN
price,12.73
beta,0
volAvg,658850
mktCap,52143238
lastDiv,0.265
range,7.34-29.35
changes,0.67
companyName,Direxion Daily Real Estate Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459W7552
cusip,25459W755
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is provided by S&P Dow Jones Indices (the “index provider”) and includes securities of companies from the following industries: real estate management and development and REITs, excluding mortgage REITs. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DRN.png
ipoDate,2009-07-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
