,DXP.TO
symbol,DXP.TO
price,20.33
beta,0
volAvg,19759
mktCap,416860063
lastDiv,0.8639999999999998
range,18.76-23.74
changes,0.09
companyName,Dynamic Active Preferred Shares ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DXP.TO.png
ipoDate,2017-01-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
