,EDOC
symbol,EDOC
price,12.49
beta,0
volAvg,41622
mktCap,0
lastDiv,0.006
range,10.61-15.33
changes,0.17
companyName,Global X Telemedicine & Digital Health ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index is designed to provide exposure to exchange-listed companies that are positioned to benefit from further advances in the field of telemedicine and digital health, as well as applications thereof (collectively, ""Telemedicine & Digital Health Companies""), as defined by Solactive AG, the provider of the index. The Adviser uses a ""passive"" or indexing approach to try to achieve the fund's investment objective. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EDOC.png
ipoDate,2020-07-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
