,EFAV
symbol,EFAV
price,66.82
beta,0
volAvg,835401
mktCap,11187203256
lastDiv,1.6059999999999999
range,54.96-74.1
changes,0.27
companyName,iShares MSCI EAFE Min Vol Factor ETF
currency,USD
cik,
isin,US46429B6891
cusip,46429B689
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index measures the performance of international equity securities that in the aggregate have lower volatility relative to the MSCI EAFE Index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EFAV.png
ipoDate,2011-10-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
