,EFZ
symbol,EFZ
price,18.4
beta,0
volAvg,283039
mktCap,26703865
lastDiv,0.115
range,17.93-24.46
changes,-0.13
companyName,ProShares Short MSCI EAFE
currency,USD
cik,
isin,US74347R3701
cusip,74347R370
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 85% of the free float-adjusted, market capitalization in each industry group in developed market countries, excluding the U.S. and Canada. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EFZ.png
ipoDate,2007-10-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
