,EMQQ
symbol,EMQQ
price,34.07
beta,0
volAvg,157150
mktCap,420255324
lastDiv,0.114
range,20.77-42.259
changes,-0.03
companyName,EMQQ The Emerging Markets Internet & Ecommerce ETF
currency,USD
cik,
isin,US3015058890
cusip,301505889
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its net assets in securities of the index or in depositary receipts representing securities of the index. The index is designed to measure the performance of an investable universe of publicly-traded, emerging market internet and ecommerce companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EMQQ.png
ipoDate,2014-11-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
