,ENBA
symbol,ENBA
price,25.02
beta,0
volAvg,100350
mktCap,41157901101
lastDiv,0
range,22.81-26.84
changes,0.12
companyName,Enbridge Inc. 6.375 SNT18 B 78
currency,USD
cik,0000895728
isin,
cusip,29250N477
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,0.498485
dcf,24.2715
image,https://financialmodelingprep.com/image-stock/ENBA.png
ipoDate,2018-04-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
