,ENO
symbol,ENO
price,24.34
beta,0.19939
volAvg,8406
mktCap,205329806
lastDiv,0
range,21.56-25.49
changes,0.26
companyName,"Entergy Utility Group, Inc. 1ST MTG BD 66"
currency,USD
cik,0000071508
isin,US29364P1030
cusip,29364P103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,202.704
dcf,226.884
image,https://financialmodelingprep.com/image-stock/ENO.png
ipoDate,2016-03-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
