,ERTH
symbol,ERTH
price,52.65
beta,0
volAvg,23929
mktCap,178945925
lastDiv,0.5850000000000001
range,44.76-63.91
changes,0.8319
companyName,Invesco MSCI Sustainable Future ETF
currency,USD
cik,
isin,US46137V4077
cusip,46137V407
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally invests at least 90% of its total assets in the securities of companies that comprise the underlying index. The underlying index is a custom index comprised of companies that the index methodology has determined focus on offering products or services that contribute to a more environmentally sustainable economy by making a more efficient use of limited global natural resources.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ERTH.png
ipoDate,2006-10-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
