,ESGB.TO
symbol,ESGB.TO
price,26.67
beta,0
volAvg,943
mktCap,60562423
lastDiv,0.22
range,25.07-28.84
changes,0.04
companyName,BMO ESG Corporate Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ESGB.TO.png
ipoDate,2020-01-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
