,ESPO
symbol,ESPO
price,48.84
beta,0
volAvg,42778
mktCap,359298835
lastDiv,0.392
range,37.93-65.39
changes,0.67
companyName,VanEck Video Gaming and eSports ETF
currency,USD
cik,
isin,US92189F1140
cusip,92189F114
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is a global index that tracks the performance of the global video gaming and eSports (also known as electronic sports) segment. The fund may invest in depositary receipts and securities denominated in foreign currencies. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ESPO.png
ipoDate,2018-10-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
