,EUM
symbol,EUM
price,14.03
beta,0
volAvg,157375
mktCap,65621916
lastDiv,0.07
range,12.35-17.6
changes,0.03
companyName,ProShares Short MSCI Emerging Markets
currency,USD
cik,
isin,US74347R3966
cusip,74347R396
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 85% of the free float-adjusted market capitalization in emerging market countries. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EUM.png
ipoDate,2007-11-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
