,EWEB
symbol,EWEB
price,25.35
beta,0
volAvg,692
mktCap,1411142353
lastDiv,0.028
range,14.7-30.198
changes,0.6185
companyName,Global X Emerging Markets Internet & E-commerce ETF
currency,USD
cik,
isin,US37954Y2440
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests at least 80% of its total assets, plus borrowings for investments purposes (if any), in the securities of the index and in ADRs and GDRs based on the securities in the index. The index is designed to provide exposure to exchange-listed companies that are expected to benefit from further adoption of internet and e-commerce technologies in emerging markets countries. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWEB.png
ipoDate,2020-11-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
