,EZU
symbol,EZU
price,44.975
beta,0
volAvg,3137983
mktCap,6885672455
lastDiv,1.103
range,31.14-48.65
changes,0.635
companyName,iShares MSCI Eurozone ETF
currency,USD
cik,
isin,US4642866085
cusip,464286608
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index consists of securities from the following 10 developed market countries: Austria, Belgium, Finland, France, Germany, Ireland, Italy, the Netherlands, Portugal and Spain."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EZU.png
ipoDate,2000-07-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
