,FCCD.TO
symbol,FCCD.TO
price,28.53
beta,0
volAvg,8379
mktCap,1685342162
lastDiv,1.1480000000000001
range,25.84-32.28
changes,0.18
companyName,Fidelity Canadian High Dividend Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCCD.TO.png
ipoDate,2018-09-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
