,FCID.TO
symbol,FCID.TO
price,23.98
beta,0
volAvg,2032
mktCap,195846962
lastDiv,1.2159999999999997
range,19.4-25.1
changes,-0.18
companyName,Fidelity International High Dividend Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCID.TO.png
ipoDate,2018-09-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
