,FCVT
symbol,FCVT
price,32.73
beta,0
volAvg,43162
mktCap,190637031
lastDiv,1.065
range,30.571-39.3
changes,0.23
companyName,First Trust SSI Strategic Convertible Securities ETF
currency,USD
cik,
isin,US33739Q5071
cusip,33739Q507
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in a portfolio of U.S. and non-U.S. convertible securities. In general, convertible securities combine the investment characteristics of bonds and common stocks and typically consist of debt securities or preferred securities that may be converted or exchanged within a specified period of time into a certain amount of common stock or other equity security of the same or a different issuer."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCVT.png
ipoDate,2015-11-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
