,FIE.TO
symbol,FIE.TO
price,7.13
beta,0
volAvg,151529
mktCap,675924000
lastDiv,0.4799999999999999
range,6.24-8.64
changes,0.02
companyName,iShares Canadian Financial Monthly Income ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FIE.TO.png
ipoDate,2010-11-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
