,FLIN
symbol,FLIN
price,28.81
beta,0
volAvg,15413
mktCap,4592861
lastDiv,0.212
range,26.88-32.56
changes,0.1569
companyName,Franklin FTSE India ETF
currency,USD
cik,
isin,US35473P7693
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its assets in the component securities of the FTSE India Capped Index and in depositary receipts representing such securities. The FTSE India Capped Index is based on the FTSE India Index and is designed to measure the performance of Indian large- and mid-capitalization stocks. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FLIN.png
ipoDate,2018-02-06
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
