,FLJP
symbol,FLJP
price,25.8
beta,0
volAvg,301727
mktCap,295885829
lastDiv,0.45999999999999996
range,21.17-28.84
changes,0.08
companyName,Franklin FTSE Japan ETF
currency,USD
cik,
isin,US35473P7446
cusip,35473P744
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its assets in the component securities of the FTSE Japan Capped Index and in depositary receipts representing such securities. The FTSE Japan Capped Index is based on the FTSE Japan Index and is designed to measure the performance of Japanese large- and mid-capitalization stocks."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FLJP.png
ipoDate,2017-11-02
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
