,FMB
symbol,FMB
price,51.3638
beta,0
volAvg,425119
mktCap,640653127
lastDiv,1.2720000000000002
range,48.07-55.67
changes,0.0138
companyName,First Trust Managed Municipal ETF
currency,USD
cik,
isin,US33739N1081
cusip,33739N108
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund seeks to achieve its investment objectives by investing at least 80% of its net assets (including investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FMB.png
ipoDate,2014-05-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
