,FMF
symbol,FMF
price,47.06
beta,0
volAvg,76001
mktCap,13449748
lastDiv,0.194
range,45.26-59.59
changes,-0.3427
companyName,First Trust Managed Futures Strategy Fund
currency,USD
cik,
isin,US33739G1031
cusip,33739G103
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively managed exchange-traded fund that seeks to achieve positive returns that are not directly correlated to broad market equity or fixed income returns. Under normal market conditions, the fund and a wholly-owned subsidiary of the fund organized under the laws of the Cayman Islands, invest significantly in a portfolio of exchange-listed futures."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FMF.png
ipoDate,2013-08-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
