,FTSL
symbol,FTSL
price,45.57
beta,0
volAvg,609400
mktCap,0
lastDiv,2.2629999999999995
range,43.8-47.93
changes,0.06
companyName,First Trust Senior Loan Fund
currency,USD
cik,
isin,US33738D3098
cusip,33738D309
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund seeks to outperform each of the primary index and secondary index by investing at least 80% of its net assets in first lien senior floating rate bank loans. The S&P/LSTA U.S. Leveraged Loan 100 Index (the ""primary index"") is a market value-weighted index designed to measure the performance of the largest segment of the U.S. syndicated leveraged loan market. The Markit iBoxx USD Liquid Leveraged Loan Index (the ""secondary index"") selects the 100 most liquid Senior Loans in the market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTSL.png
ipoDate,2013-05-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
