,FTXN
symbol,FTXN
price,29.03
beta,0
volAvg,163770
mktCap,0
lastDiv,0.633
range,21.19-31.87
changes,0.32
companyName,First Trust Nasdaq Oil & Gas ETF
currency,USD
cik,
isin,US33738R8455
cusip,33738R845
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depository receipts that comprise the index. The index is designed to provide exposure to U.S. companies comprising the oil and gas sector that have been selected based upon their liquidity and weighted based upon their cumulative score on three investing factors: volatility, value and growth. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTXN.png
ipoDate,2016-09-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
