,FUMB
symbol,FUMB
price,19.97
beta,0
volAvg,154291
mktCap,0
lastDiv,0.199
range,19.79-20.11
changes,0.01
companyName,First Trust Ultra Short Duration Municipal ETF
currency,USD
cik,
isin,US33740J1043
cusip,33740J104
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes. The weighted average duration of the fund's portfolio is expected to be less than one year."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FUMB.png
ipoDate,2018-11-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
