,FUTY
symbol,FUTY
price,44.91
beta,0
volAvg,305171
mktCap,0
lastDiv,0.9610000000000001
range,39.14-50.25
changes,0.06
companyName,Fidelity MSCI Utilities Index ETF
currency,USD
cik,
isin,US3160928657
cusip,316092865
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Utilities 25/50 Index, which represents the performance of the utilities sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Utilities 25/50 Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FUTY.png
ipoDate,2013-10-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
