,FVAL
symbol,FVAL
price,46.75
beta,0
volAvg,80436
mktCap,0
lastDiv,0.7850000000000001
range,39.76-52.247
changes,0.7282
companyName,Fidelity Value Factor ETF
currency,USD
cik,
isin,US3160927824
cusip,316092782
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Value Factor Index?, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies that have attractive valuations. It may lend securities to earn income for the fund."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FVAL.png
ipoDate,2016-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
