,FXD
symbol,FXD
price,55.01
beta,0
volAvg,37798
mktCap,15335265488
lastDiv,0.48100000000000004
range,42.61-60.05
changes,1.41
companyName,First Trust Consumer Discretionary AlphaDEX Fund
currency,USD
cik,
isin,US33734X1019
cusip,33734X101
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index that seeks to objectively identify and select stocks from the Russell 1000® Index in the consumer discretionary sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FXD.png
ipoDate,2007-05-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
