,FXE
symbol,FXE
price,100.34
beta,0
volAvg,167403
mktCap,205696900
lastDiv,0.033
range,88.37-106.75
changes,0.23
companyName,Invesco CurrencyShares Euro Currency Trust
currency,USD
cik,0001328598
isin,US46138K1034
cusip,46138K103
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,5.8
dcf,94.48
image,https://financialmodelingprep.com/image-stock/FXE.png
ipoDate,2005-12-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
