,FXN
symbol,FXN
price,17.34
beta,0
volAvg,1084600
mktCap,193550970
lastDiv,0.38899999999999996
range,13.15-19.47
changes,0.21
companyName,First Trust Energy AlphaDEX Fund
currency,USD
cik,
isin,US33734X1274
cusip,33734X127
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the energy sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FXN.png
ipoDate,2007-05-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
